"%1","%1"
". Save Draft or Publish to migrate this content into a managed override; the original legacy row stays in Magento's Transactional Emails grid untouched.",". Save Draft or Publish to migrate this content into a managed override; the original legacy row stays in Magento's Transactional Emails grid untouched."
"A basket with nothing to deliver has no method, so the value is empty. The shipped template wraps the delivery section in a depend directive on it.","A basket with nothing to deliver has no method, so the value is empty. The shipped template wraps the delivery section in a depend directive on it."
"A code no variable has renders as an empty string, with nothing to say the code was wrong.","A code no variable has renders as an empty string, with nothing to say the code was wrong."
"A comment that exists but was not marked for sending arrives as an empty value rather than as the comment.","A comment that exists but was not marked for sending arrives as an empty value rather than as the comment."
"A counter is available inside the block: {{var loop.index}} gives the position of the current item, counting from zero.","A counter is available inside the block: {{var loop.index}} gives the position of the current item, counting from zero."
"A custom variable carries two values, an HTML one and a plain one, and both are stored per store view: a store view with no value of its own falls back to the value saved for all store views. An HTML message uses the HTML value; a plain-text message uses the plain value.","A custom variable carries two values, an HTML one and a plain one, and both are stored per store view: a store view with no value of its own falls back to the value saved for all store views. An HTML message uses the HTML value; a plain-text message uses the plain value."
"A file belonging to a module has to be written with the module in front of it, as Magento_Sales::images/logo.png. Without that part it is looked for in the theme.","A file belonging to a module has to be written with the module in front of it, as Magento_Sales::images/logo.png. Without that part it is looked for in the theme."
"A file belonging to the theme is written relative to the theme's web directory, for instance images/logo.png, and is replaced by putting your own copy at the same place in your theme.","A file belonging to the theme is written relative to the theme's web directory, for instance images/logo.png, and is replaced by putting your own copy at the same place in your theme."
"A flag that is set when the order contains at least one item that needs delivering.","A flag that is set when the order contains at least one item that needs delivering."
"A one-time address where the recipient can choose a password for their account.","A one-time address where the recipient can choose a password for their account."
"A part of the path written with brackets after it is not a method call. store.getFrontendName() is read as a request for the frontend_name value held on the store object, and a name that does not begin with get is not read at all, so {{var store.isActive()}} prints nothing.","A part of the path written with brackets after it is not a method call. store.getFrontendName() is read as a request for the frontend_name value held on the store object, and a name that does not begin with get is not read at all, so {{var store.isActive()}} prints nothing."
"A path inside {{var}} is never a method call. getBaseUrl() is read as a request for a base_url value held on the store object, and nothing puts one there while a message is being rendered, so the path comes back empty.","A path inside {{var}} is never a method call. getBaseUrl() is read as a request for a base_url value held on the store object, and nothing puts one there while a message is being rendered, so the path comes back empty."
"A path inside {{var}} is never a method call. getId() is read as a request for an id value held on the store object, and the store record carries store_id rather than id, so the path comes back empty.","A path inside {{var}} is never a method call. getId() is read as a request for an id value held on the store object, and the store record carries store_id rather than id, so the path comes back empty."
"A plain-text message is not given the value at all, so there the directive produces nothing.","A plain-text message is not given the value at all, so there the directive produces nothing."
"A store parameter naming a store view that does not exist stops the message with an error rather than falling back to the current one.","A store parameter naming a store view that does not exist stops the message with an error rather than falling back to the current one."
"A store view keeps the id it was given when it was created. Nothing in the administration changes it.","A store view keeps the id it was given when it was created. Nothing in the administration changes it."
"A variable the code sending this message hands to the template. It is declared by this template family and has a value only in the messages that code sends.","A variable the code sending this message hands to the template. It is declared by this template family and has a value only in the messages that code sends."
"A variable with no HTML value is not empty in an HTML message: the plain value is printed instead, with its HTML escaped and its line breaks turned into br tags. So markup typed into the plain value appears in the message as text rather than as markup.","A variable with no HTML value is not empty in an HTML message: the plain value is printed instead, with its HTML escaped and its line breaks turned into br tags. So markup typed into the plain value appears in the message as text rather than as markup."
"A {{%1}} directive is expanded by the email template filter while the message is being rendered. Because the knowledge base has no entry for this one, nothing more precise can be said about where its value comes from.","A {{%1}} directive is expanded by the email template filter while the message is being rendered. Because the knowledge base has no entry for this one, nothing more precise can be said about where its value comes from."
"A {{config}} directive reads only a fixed list of configuration paths, and ""%1"" is not on that list, so the directive renders as an empty string.","A {{config}} directive reads only a fixed list of configuration paths, and ""%1"" is not on that list, so the directive renders as an empty string."
